Country,Code,Capital,Continent,Growth Rate,World Population Percentage,Gdp per capita,Population,Year,>22000
Argentina,ARG,Buenos Aires,South America,1.0052,0.57,1322.590638,23842803,1970,no
Argentina,ARG,Buenos Aires,South America,1.0052,0.57,2758.834817,28024803,1980,no
Argentina,ARG,Buenos Aires,South America,1.0052,0.57,4333.483372,32637657,1990,no
Argentina,ARG,Buenos Aires,South America,1.0052,0.57,7708.099115,37070774,2000,no
Argentina,ARG,Buenos Aires,South America,1.0052,0.57,10385.96443,41100123,2010,no
Argentina,ARG,Buenos Aires,South America,1.0052,0.57,8579.017773,45036032,2020,no
Australia,AUS,Canberra,Oceania,1.0099,0.33,3305.126394,12595034,1970,yes
Australia,AUS,Canberra,Oceania,1.0099,0.33,10211.83719,14706322,1980,yes
Australia,AUS,Canberra,Oceania,1.0099,0.33,18243.47142,17048003,1990,yes
Australia,AUS,Canberra,Oceania,1.0099,0.33,21697.70848,19017963,2000,yes
Australia,AUS,Canberra,Oceania,1.0099,0.33,52087.97229,22019168,2010,yes
Australia,AUS,Canberra,Oceania,1.0099,0.33,51692.84275,25670051,2020,yes
Austria,AUT,Vienna,Europe,1.002,0.11,2058.769051,7465301,1970,yes
Austria,AUT,Vienna,Europe,1.002,0.11,10869.54649,7547561,1980,yes
Austria,AUT,Vienna,Europe,1.002,0.11,21680.98962,7678729,1990,yes
Austria,AUT,Vienna,Europe,1.002,0.11,24564.45829,8010428,2000,yes
Austria,AUT,Vienna,Europe,1.002,0.11,46858.04327,8362829,2010,yes
Austria,AUT,Vienna,Europe,1.002,0.11,48586.80132,8907777,2020,yes
Burundi,BDI,Bujumbura,Africa,1.027,0.16,69.76938418,3497834,1970,no
Burundi,BDI,Bujumbura,Africa,1.027,0.16,221.2319418,4312834,1980,no
Burundi,BDI,Bujumbura,Africa,1.027,0.16,208.1466789,5483793,1990,no
Burundi,BDI,Bujumbura,Africa,1.027,0.16,136.4639708,6307659,2000,no
Burundi,BDI,Bujumbura,Africa,1.027,0.16,234.2355389,9126605,2010,no
Burundi,BDI,Bujumbura,Africa,1.027,0.16,238.9907259,12220227,2020,no
Belgium,BEL,Brussels,Europe,1.0038,0.15,2765.890997,9629376,1970,yes
Belgium,BEL,Brussels,Europe,1.0038,0.15,12864.00257,9828986,1980,yes
Belgium,BEL,Brussels,Europe,1.0038,0.15,20600.37528,9959560,1990,yes
Belgium,BEL,Brussels,Europe,1.0038,0.15,23041.53473,10264343,2000,yes
Belgium,BEL,Brussels,Europe,1.0038,0.15,44141.87814,10877947,2010,yes
Belgium,BEL,Brussels,Europe,1.0038,0.15,45159.34822,11561717,2020,yes
Benin,BEN,Porto-Novo,Africa,1.0274,0.17,114.5566751,3023443,1970,no
Benin,BEN,Porto-Novo,Africa,1.0274,0.17,378.0443051,3833939,1980,no
Benin,BEN,Porto-Novo,Africa,1.0274,0.17,393.686768,5133419,1990,no
Benin,BEN,Porto-Novo,Africa,1.0274,0.17,512.673902,6998023,2000,no
Benin,BEN,Porto-Novo,Africa,1.0274,0.17,1036.534515,9445710,2010,no
Benin,BEN,Porto-Novo,Africa,1.0274,0.17,1291.040972,12643123,2020,no
Burkina Faso,BFA,Ouagadougou,Africa,1.0259,0.28,81.5000146,5611666,1970,no
Burkina Faso,BFA,Ouagadougou,Africa,1.0259,0.28,282.6858501,6932967,1980,no
Burkina Faso,BFA,Ouagadougou,Africa,1.0259,0.28,351.9792335,9131361,1990,no
Burkina Faso,BFA,Ouagadougou,Africa,1.0259,0.28,255.7186873,11882888,2000,no
Burkina Faso,BFA,Ouagadougou,Africa,1.0259,0.28,647.8360955,16116845,2010,no
Burkina Faso,BFA,Ouagadougou,Africa,1.0259,0.28,857.9327297,21522626,2020,no
Bangladesh,BGD,Dhaka,Asia,1.0108,2.15,140.0027053,67541860,1970,no
Bangladesh,BGD,Dhaka,Asia,1.0108,2.15,227.7519265,83929765,1980,no
Bangladesh,BGD,Dhaka,Asia,1.0108,2.15,306.2687008,107147651,1990,no
Bangladesh,BGD,Dhaka,Asia,1.0108,2.15,418.0689421,129193327,2000,no
Bangladesh,BGD,Dhaka,Asia,1.0108,2.15,781.1535777,148391139,2010,no
Bangladesh,BGD,Dhaka,Asia,1.0108,2.15,1961.613749,167420951,2020,no
"Bahamas, The",BHS,Nassau,North America,1.0051,0.01,3178.86332,179129,1970,yes
"Bahamas, The",BHS,Nassau,North America,1.0051,0.01,6340.787031,223752,1980,yes
"Bahamas, The",BHS,Nassau,North America,1.0051,0.01,12356.231,270679,1990,yes
"Bahamas, The",BHS,Nassau,North America,1.0051,0.01,27098.15632,325014,2000,yes
"Bahamas, The",BHS,Nassau,North America,1.0051,0.01,28443.88848,373272,2010,yes
"Bahamas, The",BHS,Nassau,North America,1.0051,0.01,25194.02514,406471,2020,yes
Belize,BLZ,Belmopan,North America,1.0131,0.01,435.6833377,120905,1970,no
Belize,BLZ,Belmopan,North America,1.0131,0.01,1373.216845,145133,1980,no
Belize,BLZ,Belmopan,North America,1.0131,0.01,2197.161593,182589,1990,no
Belize,BLZ,Belmopan,North America,1.0131,0.01,3364.491731,240406,2000,no
Belize,BLZ,Belmopan,North America,1.0131,0.01,4270.780085,322106,2010,no
Belize,BLZ,Belmopan,North America,1.0131,0.01,4115.177008,394921,2020,no
Bermuda,BMU,Hamilton,North America,1,0,3387.272727,52019,1970,yes
Bermuda,BMU,Hamilton,North America,1,0,11218.21782,53565,1980,yes
Bermuda,BMU,Hamilton,North America,1,0,26841.51974,57470,1990,yes
Bermuda,BMU,Hamilton,North America,1,0,56284.16865,61371,2000,yes
Bermuda,BMU,Hamilton,North America,1,0,101875.2841,63447,2010,yes
Bermuda,BMU,Hamilton,North America,1,0,107079.4798,64031,2020,yes
Bolivia,BOL,Sucre,South America,1.012,0.15,226.8069714,4585693,1970,no
Bolivia,BOL,Sucre,South America,1.012,0.15,811.2852993,5736088,1980,no
Bolivia,BOL,Sucre,South America,1.012,0.15,709.0599824,7096194,1990,no
Bolivia,BOL,Sucre,South America,1.012,0.15,997.5817489,8592656,2000,no
Bolivia,BOL,Sucre,South America,1.012,0.15,1955.460182,10223270,2010,no
Bolivia,BOL,Sucre,South America,1.012,0.15,3133.099803,11936162,2020,no
Brazil,BRA,Brasilia,South America,1.0046,2.7,445.0237808,96369875,1970,no
Brazil,BRA,Brasilia,South America,1.0046,2.7,1966.903626,122288383,1980,no
Brazil,BRA,Brasilia,South America,1.0046,2.7,2622.262881,150706446,1990,no
Brazil,BRA,Brasilia,South America,1.0046,2.7,3749.910848,175873720,2000,no
Brazil,BRA,Brasilia,South America,1.0046,2.7,11286.07154,196353492,2010,no
Brazil,BRA,Brasilia,South America,1.0046,2.7,6796.844542,213196304,2020,no
Brunei Darussalam,BRN,Bandar Seri Begawan,Asia,1.0081,0.01,1382.537631,133343,1970,yes
Brunei Darussalam,BRN,Bandar Seri Begawan,Asia,1.0081,0.01,25422.03919,187921,1980,yes
Brunei Darussalam,BRN,Bandar Seri Begawan,Asia,1.0081,0.01,13607.89027,261928,1990,yes
Brunei Darussalam,BRN,Bandar Seri Begawan,Asia,1.0081,0.01,18012.50219,333926,2000,yes
Brunei Darussalam,BRN,Bandar Seri Begawan,Asia,1.0081,0.01,35270.64214,396053,2010,yes
Brunei Darussalam,BRN,Bandar Seri Begawan,Asia,1.0081,0.01,27442.95383,441725,2020,yes
Botswana,BWA,Gaborone,Africa,1.0162,0.03,153.3263787,592244,1970,no
Botswana,BWA,Gaborone,Africa,1.0162,0.03,1181.61387,938578,1980,no
Botswana,BWA,Gaborone,Africa,1.0162,0.03,2945.83204,1341474,1990,no
Botswana,BWA,Gaborone,Africa,1.0162,0.03,3522.310821,1726985,2000,no
Botswana,BWA,Gaborone,Africa,1.0162,0.03,6434.812485,2091664,2010,no
Botswana,BWA,Gaborone,Africa,1.0162,0.03,6404.899932,2546402,2020,no
Central African Republic,CAF,Bangui,Africa,1.0224,0.07,104.4120165,2067356,1970,no
Central African Republic,CAF,Bangui,Africa,1.0224,0.07,362.4001488,2415276,1980,no
Central African Republic,CAF,Bangui,Africa,1.0224,0.07,513.3041877,2809221,1990,no
Central African Republic,CAF,Bangui,Africa,1.0224,0.07,251.2072914,3759170,2000,no
Central African Republic,CAF,Bangui,Africa,1.0224,0.07,488.4217358,4660067,2010,no
Central African Republic,CAF,Bangui,Africa,1.0224,0.07,492.7958712,5343020,2020,no
Canada,CAN,Ottawa,North America,1.0078,0.48,4121.932814,21434577,1970,yes
Canada,CAN,Ottawa,North America,1.0078,0.48,11170.56397,24511510,1980,yes
Canada,CAN,Ottawa,North America,1.0078,0.48,21448.36196,27657204,1990,yes
Canada,CAN,Ottawa,North America,1.0078,0.48,24271.00206,30683313,2000,yes
Canada,CAN,Ottawa,North America,1.0078,0.48,47562.08343,33963412,2010,yes
Canada,CAN,Ottawa,North America,1.0078,0.48,43294.64816,37888705,2020,yes
Chile,CHL,Santiago,South America,1.0057,0.25,932.8615692,9820481,1970,no
Chile,CHL,Santiago,South America,1.0057,0.25,2542.763806,11469828,1980,no
Chile,CHL,Santiago,South America,1.0057,0.25,2494.526796,13342868,1990,no
Chile,CHL,Santiago,South America,1.0057,0.25,5074.902616,15351799,2000,no
Chile,CHL,Santiago,South America,1.0057,0.25,12808.03834,17004162,2010,no
Chile,CHL,Santiago,South America,1.0057,0.25,13231.70421,19300315,2020,no
China,CHN,Beijing,Asia,1,17.88,113.1629916,822534450,1970,no
